"","x"
"1",4.56910066774255
"2",0.0782202309441516
"3",0.072022624021095
"4",2.39498918220409
"5",2.33395248627658
"6",3.31462219356045
"7",0.0615210524808
"8",0.0430785562127538
"9",0.93659091666184
"10",0.717597379922078
"11",7.79737063420238
"12",0.0236022674888119
"13",0.038501349379614
"14",0.0301093085141277
"15",0.183153498992239
"16",0.346336656926175
"17",0.183976095731088
"18",0.385150652622948
"19",0.0319262928483536
"20",0.386386613506429
"21",0.378234677001773
"22",4.7931255726192
"23",0.817148335133669
"24",0.0704592110686677
"25",0.15301879969652
